rest,rest_code,review,wdate,review_count,clean_review,emotion
맛뜨랑분식,1364605738,전주에서 가본 분식집 중에 제일 맛있습니다!!!사장님도 정말 친절하시고음식 하나 하나 정성들여 해주셔요????재료들도 디테일하고 신선하구요그냥 존맛탱입니다!!!!!!! 여기서 시키세요 무조건,2024-02-28,45,전주에서 가본 분식집 중에 제일 맛있습니다사장님도 정말 친절하시고음식 하나 하나 정성들여 해주셔요재료들도 디테일하고 신선하구요그냥 존맛탱입니다 여기서 시키세요 무조건,1
맛뜨랑분식,1364605738,점심에 떡볶이랑 모듬튀김 너무 맛있길래 또 저녁에 가서 오징어덮밥이랑 수제돈가스오므라이스 먹었어요! 4가지 음식 전부 다 맛있었어요?? 또 어묵 하나씩 서비스로 주셔서 너무 좋았어요! 음식들이 다 맛있고 양도 푸짐해서 배부르게 잘 먹었습니다 ?? 다음에 다른 메뉴들도 먹으러 갈거예요!,2024-02-24,45,점심에 떡볶이랑 모듬튀김 너무 맛있길래 또 저녁에 가서 오징어덮밥이랑 수제돈가스오므라이스 먹었어요 4가지 음식 전부 다 맛있었어요 또 어묵 하나씩 서비스로 주셔서 너무 좋았어요 음식들이 다 맛있고 양도 푸짐해서 배부르게 잘 먹었습니다 다음에 다른 메뉴들도 먹으러 갈거예요,1
맛뜨랑분식,1364605738,수제 돈까스라고 하셨는데 그래서 그런지 일반적인 돈까스보다 감칠맛..? 같은 게 더 잘 느껴져서 꼬소하니 오므라이스랑 더 잘 어울렸어요 ?? 도서관 주변에 가까이 있어서 혼밥하기도 좋은데 사장님도 넘넘 친절하셔서 매번 갈 때마다 기분 좋게 먹고 나올 수 있는 곳이에용!! 심지어 가격도 저렴한데 (주변 분식집 등등이나 비교해도 제일 저렴하고 양도 많은 것 같아요 ??) 양은 푸짐해서 든든하게 한 끼 할 수 있는 아주… 쨩쨩인 곳입니다 ??,2024-02-13,45,수제 돈까스라고 하셨는데 그래서 그런지 일반적인 돈까스보다 감칠맛 같은 게 더 잘 느껴져서 꼬소하니 오므라이스랑 더 잘 어울렸어요 도서관 주변에 가까이 있어서 혼밥하기도 좋은데 사장님도 넘넘 친절하셔서 매번 갈 때마다 기분 좋게 먹고 나올 수 있는 곳이에용 심지어 가격도 저렴한데 주변 분식집 등등이나 비교해도 제일 저렴하고 양도 많은 것 같아요 양은 푸짐해서 든든하게 한 끼 할 수 있는 아주 쨩쨩인 곳입니다,1
맛뜨랑분식,1364605738,사장님이 친절하시고 순대 맛있어요,2023-11-18,45,사장님이 친절하시고 순대 맛있어요,1
맛뜨랑분식,1364605738,Og감성의 분식집입니다.라볶이와 모듬튀김 주문했는데 구성이 아주 알차서 만족했습니다. 아마 다른 메뉴들도 맛이 상당할것으로 예상합니다.한가지 아쉬운 점은 나중에 주신 오뎅국물 간이 조금 부족한 거 말고는 없었습니다.,2023-05-19,45,감성의 분식집입니다라볶이와 모듬튀김 주문했는데 구성이 아주 알차서 만족했습니다 아마 다른 메뉴들도 맛이 상당할것으로 예상합니다한가지 아쉬운 점은 나중에 주신 오뎅국물 간이 조금 부족한 거 말고는 없었습니다,1
맛뜨랑분식,1364605738,맛있어요,2024-02-28,45,맛있어요,1
맛뜨랑분식,1364605738,굿,2023-09-11,45,굿,1
맛뜨랑분식,1364605738,굿,2023-09-13,45,굿,1
맛뜨랑분식,1364605738,굿,2023-12-17,45,굿,1
소풍가는날,37724410,저번에는 안그랬는데 오늘은 볶음밥이 너무 달아요ㅠ,2025-10-26,191,저번에는 안그랬는데 오늘은 볶음밥이 너무 달아요,0
소풍가는날,37724410,치돈맛나용,2025-10-05,191,치돈맛나용,1
소풍가는날,37724410,가성비최고최고???????????·??·????????????,2025-06-24,191,가성비최고최고,1
소풍가는날,37724410,맛나용,2025-09-21,191,맛나용,1
소풍가는날,37724410,교대에서 아이 수업받고 점심 먹으러 방문~~^^매콤김밥 맛있어요,2025-04-12,191,교대에서 아이 수업받고 점심 먹으러 방문매콤김밥 맛있어요,1
소풍가는날,37724410,김밥이맛있어요??,2025-07-23,191,김밥이맛있어요,1
소풍가는날,37724410,먹어본 치즈돈가스중 치즈가 가장 많다고 하며먹는 아들이네요..친절하시고 맛있게 먹었습니다..집에 들어가는길에 자주 들릴것같습니다..,2025-03-07,191,먹어본 치즈돈가스중 치즈가 가장 많다고 하며먹는 아들이네요친절하시고 맛있게 먹었습니다집에 들어가는길에 자주 들릴것같습니다,1
소풍가는날,37724410,이른 시간 식사때문에빨리 오픈해서 좋아요.아이가 치즈가 먹어본 돈까스중 가장많았다고 해요,2025-03-01,191,이른 시간 식사때문에빨리 오픈해서 좋아요아이가 치즈가 먹어본 돈까스중 가장많았다고 해요,1
소풍가는날,37724410,오모라이스 맛있어요,2025-05-17,191,오모라이스 맛있어요,1
보나베띠,20691009,생일기념으로 처음 방문했습니다.와 정말 맛있게 먹고 왔습니다!매콤함이 있었지만 맛있게 매워서 너무 개운했어요.예약하고 가니 음료쿠폰도 있어서 더 만족했습니다!! 남편도 다음에 또 오자고 그러네요번창하세요!!,2025-04-06,392,생일기념으로 처음 방문했습니다와 정말 맛있게 먹고 왔습니다매콤함이 있었지만 맛있게 매워서 너무 개운했어요예약하고 가니 음료쿠폰도 있어서 더 만족했습니다 남편도 다음에 또 오자고 그러네요번창하세요,1
보나베띠,20691009,"아내 생일을 맞아서 장모님, 장인어른 모시고 식사 왔습니다.분위기가 좋아요, 적당히 식사에 집중하기도 좋고 대화에 집중할 땐 딱 방해되지 않는 정도로 분위기가 형성되어서 가족들끼리 오기에 정말 좋아요음식은 물론 맛있고 생각보다 포만감이 좋아요특히 전채로 나온 샐러드도 맛있었고 모든 음식들이 다 맛있는 선택이었습니다.식사하기 좋은 타이밍에 나와서 부담없이 먹기도 좋아요 맛있게 잘 먹었습니다.",2025-03-29,392,아내 생일을 맞아서 장모님 장인어른 모시고 식사 왔습니다분위기가 좋아요 적당히 식사에 집중하기도 좋고 대화에 집중할 땐 딱 방해되지 않는 정도로 분위기가 형성되어서 가족들끼리 오기에 정말 좋아요음식은 물론 맛있고 생각보다 포만감이 좋아요특히 전채로 나온 샐러드도 맛있었고 모든 음식들이 다 맛있는 선택이었습니다식사하기 좋은 타이밍에 나와서 부담없이 먹기도 좋아요 맛있게 잘 먹었습니다,1
보나베띠,20691009,"메뉴하나하나 특별했습니다.이벤트로 오늘의스프 받았는데, 참 맛있더라고요 !디져트 아이스크림까지 야무진 식사였습니다.재방문 하려고요~",2025-05-11,392,메뉴하나하나 특별했습니다이벤트로 오늘의스프 받았는데 참 맛있더라고요 디져트 아이스크림까지 야무진 식사였습니다재방문 하려고요,1
보나베띠,20691009,양도 푸짐하고 샐러드 야채도 신선하고 치즈가너무 맛있어요~,2025-06-22,392,양도 푸짐하고 샐러드 야채도 신선하고 치즈가너무 맛있어요,1
보나베띠,20691009,"짝꿍이랑 함께 방문한 곳인데 분위기가 진짜 ??숲 속에 온 것 같은 느낌이 들어서특별한 날에 분위기 내러 방문해도 좋겠다 싶어요!그리고 스테이크피자 캬..피자 도우는 얇고 고기, 야채가 가득해서 좋았어요.소스는 불고기 버거 맛!!파스타는 매콤하니 느끼함이 쏘옥 사라져요.",2025-02-22,392,짝꿍이랑 함께 방문한 곳인데 분위기가 진짜 숲 속에 온 것 같은 느낌이 들어서특별한 날에 분위기 내러 방문해도 좋겠다 싶어요그리고 스테이크피자 캬피자 도우는 얇고 고기 야채가 가득해서 좋았어요소스는 불고기 버거 맛파스타는 매콤하니 느끼함이 쏘옥 사라져요,1
보나베띠,20691009,지인추천으로맛점했어요~,2025-06-05,392,지인추천으로맛점했어요,1
보나베띠,20691009,두번째 방문이네요 .남자친구 추천으로 오게 됬어요! 재료가 신선해서 마음에 들어요! 퀄리티있는 식사 하시고 싶으시면 추천합니다! 부모님 모셔서 모임하기에 분위기 좋은 공간이라고 생각합니다 ㅎㅎ 스프도 정말 맛있어요!!잘먹었습니다,2025-05-25,392,두번째 방문이네요 남자친구 추천으로 오게 됬어요 재료가 신선해서 마음에 들어요 퀄리티있는 식사 하시고 싶으시면 추천합니다 부모님 모셔서 모임하기에 분위기 좋은 공간이라고 생각합니다 ㅎㅎ 스프도 정말 맛있어요잘먹었습니다,1
보나베띠,20691009,넘넘 친절하구 마싯엇어용!!!,2025-05-20,392,넘넘 친절하구 마싯엇어용,1
보나베띠,20691009,"스데이크랑 오일파스타가 정말 맛있는 집입니다.스테이크는 정말 적극추천합니다.고기러버 아닌 저도 엄청 맛있게 먹었습니다.빠네랑 스프, 샐러드도 정말 맛있었습니다.",2025-03-29,392,스데이크랑 오일파스타가 정말 맛있는 집입니다스테이크는 정말 적극추천합니다고기러버 아닌 저도 엄청 맛있게 먹었습니다빠네랑 스프 샐러드도 정말 맛있었습니다,1
보나베띠,20691009,"가격대비 퀄리티가 떨어져요.해물 뚝배기 리조또에는 갑자기 콩나물,,?잡탕 느낌 나요 ㅠㅠ..빠네도 이정도면 라라코스트 퀄리티인데 가격은 비싸구요시설도 너무 노후됐고 음식점하시면 신경쓰셔야할 것 같아요",2025-06-28,392,가격대비 퀄리티가 떨어져요해물 뚝배기 리조또에는 갑자기 콩나물잡탕 느낌 나요 빠네도 이정도면 라라코스트 퀄리티인데 가격은 비싸구요시설도 너무 노후됐고 음식점하시면 신경쓰셔야할 것 같아요,0
오동태마을,17064963,칼칼하니 동태매운탕 맛있네요친구가 수제비피를 얇게 잘 떠서남김없이 깔끔하게 먹었구요아쉬움이 있다면 밑반찬으로 나온미역무침을 물에 적당히 불려서조리를 해야 하는데 덜불려져미역 무침 맛이~,2025-10-15,491,칼칼하니 동태매운탕 맛있네요친구가 수제비피를 얇게 잘 떠서남김없이 깔끔하게 먹었구요아쉬움이 있다면 밑반찬으로 나온미역무침을 물에 적당히 불려서조리를 해야 하는데 덜불려져미역 무침 맛이,1
오동태마을,17064963,얼큰한 동태탕 좋네요. 수제비 무한리필로 맛있게 즐겨요^^,2025-09-16,491,얼큰한 동태탕 좋네요 수제비 무한리필로 맛있게 즐겨요,1
오동태마을,17064963,무조건 1인 1메뉴래요.3차로 소주마시러갔는데..고거이 아쉽더라고요,2025-10-09,491,무조건 1인 1메뉴래요3차로 소주마시러갔는데고거이 아쉽더라고요,0
오동태마을,17064963,"울 동네 동태탕 맛집입니다. 자주 들러서 먹고 포장도 자주 해요. 요즘 동태도 콩나물도 양이 적어져서 아쉽지만 그래도 여전히 맛있고 가성비 좋은 밥집이에요. 브레이크 타임 없어 언제든 먹을 수 있고, 얼큰하고 진한 국물이 일품! 졸깃한 잘익은 수제비는 말해모해!! 추천합니다.",2025-06-13,491,울 동네 동태탕 맛집입니다 자주 들러서 먹고 포장도 자주 해요 요즘 동태도 콩나물도 양이 적어져서 아쉽지만 그래도 여전히 맛있고 가성비 좋은 밥집이에요 브레이크 타임 없어 언제든 먹을 수 있고 얼큰하고 진한 국물이 일품 졸깃한 잘익은 수제비는 말해모해 추천합니다,1
오동태마을,17064963,단체모임하기 좋아요,2025-09-09,491,단체모임하기 좋아요,1
오동태마을,17064963,어머니댁 방문하며 전주 자주가는 동태마을에 갔어요~본점이라서 엄청 오래되었고 저 아가씨때부터 어머니와 자주 가던 당골가게에요오유민 동태마을은 수제비를 무한으로 먹을수있어서 좋아요 우리딸들도 어머니도 수제비를 좋아해서 늘 전주 올때면 오게되더라고요밑반찬도 맛있고 동태 사이즈도 커서 1인분에 1마리씩 나오면 푸짐하게 먹을수 있어요 1인에 1인분씩 주문해야해요~아깝지 않고 배불리먹으며수제비도 5명이서 15개정도 먹고나왔어요~전주오면 또 방문할께요~~,2025-02-27,491,어머니댁 방문하며 전주 자주가는 동태마을에 갔어요본점이라서 엄청 오래되었고 저 아가씨때부터 어머니와 자주 가던 당골가게에요오유민 동태마을은 수제비를 무한으로 먹을수있어서 좋아요 우리딸들도 어머니도 수제비를 좋아해서 늘 전주 올때면 오게되더라고요밑반찬도 맛있고 동태 사이즈도 커서 1인분에 1마리씩 나오면 푸짐하게 먹을수 있어요 1인에 1인분씩 주문해야해요아깝지 않고 배불리먹으며수제비도 5명이서 15개정도 먹고나왔어요전주오면 또 방문할께요,1
오동태마을,17064963,자주가는 집입니다. 항상 맛있어요. 반찬도 종류가 많지는 않지만 깔끔하고 맛있어요.특히 수제비는 무한리필로 먹을슈있어 좋아요.다만... 공기밥이 공기에 반도 안차서 ㅠㅠㅜ 너무행~~~밥 양이 너무 적어요,2025-01-15,491,자주가는 집입니다 항상 맛있어요 반찬도 종류가 많지는 않지만 깔끔하고 맛있어요특히 수제비는 무한리필로 먹을슈있어 좋아요다만 공기밥이 공기에 반도 안차서 너무행밥 양이 너무 적어요,1
오동태마을,17064963,그냥그래요,2025-09-13,491,그냥그래요,0
동호곱창,17073300,주차하기 힘들고 웨이팅 했던 동호곱창이지만맛은 보장합니다!!!!!!곱창이 야들야들하고 잡내가 없어 진짜 맛있어요(msg맛 낭낭??)사장님 친절하세요~,2025-09-25,485,주차하기 힘들고 웨이팅 했던 동호곱창이지만맛은 보장합니다곱창이 야들야들하고 잡내가 없어 진짜 맛있어요맛 낭낭사장님 친절하세요,1
동호곱창,17073300,전주역맛집 동호곱창뜨끈한 곱창전골에 술 한잔,2025-11-05,485,전주역맛집 동호곱창뜨끈한 곱창전골에 술 한잔,1
동호곱창,17073300,맛있게 먹었어요,2025-11-15,485,맛있게 먹었어요,1
동호곱창,17073300,점심 곱창전골 2만7천 원. 강력추천드립니다 ^^,2025-09-24,485,점심 곱창전골 2만7천 원 강력추천드립니다,1
동호곱창,17073300,"전주역 근처 동호곱창 방문 후기비 오는 날, 전주역 근처 동호곱창 다녀왔습니다.주차는 조금 불편했지만, 그 맛 하나만큼은 확실히 보장됩니다.곱창전골이 특히 인상 깊었는데, 얼큰하고 깊은 국물 맛에 소주가 절로 들어가더라고요.비 오는 날이면 더 생각날 그런 맛. 곱창 좋아하시는 분이라면 한 번쯤 꼭 가볼 만한 곳입니다.",2025-06-13,485,전주역 근처 동호곱창 방문 후기비 오는 날 전주역 근처 동호곱창 다녀왔습니다주차는 조금 불편했지만 그 맛 하나만큼은 확실히 보장됩니다곱창전골이 특히 인상 깊었는데 얼큰하고 깊은 국물 맛에 소주가 절로 들어가더라고요비 오는 날이면 더 생각날 그런 맛 곱창 좋아하시는 분이라면 한 번쯤 꼭 가볼 만한 곳입니다,1
동호곱창,17073300,진짜 생곱창을 즐기고 싶다면여기가 맛집입니다,2025-07-29,485,진짜 생곱창을 즐기고 싶다면여기가 맛집입니다,1
동호곱창,17073300,곱창이 야들야들하고 쫄깃쫄깃해서 맛있네요. 국물은 짜지도 맵지도 않아 좋네요.,2025-08-16,485,곱창이 야들야들하고 쫄깃쫄깃해서 맛있네요 국물은 짜지도 맵지도 않아 좋네요,1
동호곱창,17073300,전주역 부근 곱창으로 유명하다고 해서 방문해 봤습니다 사장님 친절하기 맞이해주셔서 좋았어요 메뉴는구이 전골 생삼겹살을 메인으로 파시더라고요 저희는 곱창구이 2인분 먹었는데 곱창에 곱도 많이 들어있고 잡내도 하나도 안나서 좋았어요 다음에는 전골도 먹으로 방문해봐야겠네요 다만 주문시 직원에게 주문할라고하면 사장님한테 말해라하고 계산시에도 직원분에게 결제할라고 하는데 사장님한테 해야된다고 하시네요 왜그런진 모르겠는데 그랬어요 그래도 맛있게 먹었어요,2025-04-26,485,전주역 부근 곱창으로 유명하다고 해서 방문해 봤습니다 사장님 친절하기 맞이해주셔서 좋았어요 메뉴는구이 전골 생삼겹살을 메인으로 파시더라고요 저희는 곱창구이 2인분 먹었는데 곱창에 곱도 많이 들어있고 잡내도 하나도 안나서 좋았어요 다음에는 전골도 먹으로 방문해봐야겠네요 다만 주문시 직원에게 주문할라고하면 사장님한테 말해라하고 계산시에도 직원분에게 결제할라고 하는데 사장님한테 해야된다고 하시네요 왜그런진 모르겠는데 그랬어요 그래도 맛있게 먹었어요,1
동호곱창,17073300,ㅎㅎ,2025-09-11,485,ㅎㅎ,0
동호곱창,17073300,국물도 시원하고 너무 맛있게 먹었습니다. 재방문의사 1000% 입니다,2025-05-20,485,국물도 시원하고 너무 맛있게 먹었습니다 재방문의사 1000 입니다,1
연어회상,1003641541,"유린기 돈까스랑, 청양크림 돈까스 먹었는데…너무 너무 맛있어요!! 양도 많아서 배터져요..??가게도 귀엽고 잘 먹구 갑니당~~~",2025-07-17,104,유린기 돈까스랑 청양크림 돈까스 먹었는데너무 너무 맛있어요 양도 많아서 배터져요가게도 귀엽고 잘 먹구 갑니당,1
연어회상,1003641541,매콤우쫄면 맛있어요,2025-07-24,104,매콤우쫄면 맛있어요,1
연어회상,1003641541,사대부고에서도 연어먹을슈있어서 좋아요!,2025-04-01,104,사대부고에서도 연어먹을슈있어서 좋아요,1
연어회상,1003641541,"전북사대부고 앞사케동 맛집 ??연어, 돈까스, 카레 다 맛있다고 유명해요!!지금까지 사케동만 4번 정도 먹어봤는데너무 맛있어요 ㅜㅜ가격도 비싸지 않고, 연어 냄새 없고양도 여자기준 배부르게 먹어요!",2024-11-20,104,전북사대부고 앞사케동 맛집 연어 돈까스 카레 다 맛있다고 유명해요지금까지 사케동만 4번 정도 먹어봤는데너무 맛있어요 가격도 비싸지 않고 연어 냄새 없고양도 여자기준 배부르게 먹어요,1
연어회상,1003641541,맛있어요,2025-04-11,104,맛있어요,1
연어회상,1003641541,주변 학생들에게 소문난 맛집으로 오랫만에 연어가 땡겨서 재방문 하게 되었습니다작은 매장이지만 정말 아기 자기한 소품부터 인테리어 가 메뉴와 잘 어울려져서 사장님 인테리어 솜씨에 감탄 하는 곳이랍니다식사메뉴 가격도 오픈 초창기 그대로 유지 하고 계시더라고요(엄청 깜놀)연어회상은 전주에서 쉽게 보지 못한스타일 이색 메뉴가 많아서 좋더라고요또한 사장님 내외분도 너무 친절하시고 계산할때 후식까지 챙겨주신 모습에 진짜 감동 이었습니다이런곳은 꼭 대박 나셨으면 좋겠습니다사장님 응원 합니다 화이팅!!!,2024-07-09,104,주변 학생들에게 소문난 맛집으로 오랫만에 연어가 땡겨서 재방문 하게 되었습니다작은 매장이지만 정말 아기 자기한 소품부터 인테리어 가 메뉴와 잘 어울려져서 사장님 인테리어 솜씨에 감탄 하는 곳이랍니다식사메뉴 가격도 오픈 초창기 그대로 유지 하고 계시더라고요엄청 깜놀연어회상은 전주에서 쉽게 보지 못한스타일 이색 메뉴가 많아서 좋더라고요또한 사장님 내외분도 너무 친절하시고 계산할때 후식까지 챙겨주신 모습에 진짜 감동 이었습니다이런곳은 꼭 대박 나셨으면 좋겠습니다사장님 응원 합니다 화이팅,1
연어회상,1003641541,김치우동 완전 맛있어요~~ 국물 진하고 우동이아니라 김치찜에 우동사리 넣은 느낌이라 좋았어요,2024-11-27,104,김치우동 완전 맛있어요 국물 진하고 우동이아니라 김치찜에 우동사리 넣은 느낌이라 좋았어요,1
연어회상,1003641541,"오랜만에 방문한 연어회상??카레는 여전히 맛있고 고로케 감자가 훨씬 진해져서 빨리 안먹은 걸 후회했어요ㅠ열무김치가 나왔길래 이야기하고 있었는데, 직접 농사지어 담근거라고 알려주시더라구요!우쫄면도 매콤하니 맛있게 먹었습니다??????????",2024-05-31,104,오랜만에 방문한 연어회상카레는 여전히 맛있고 고로케 감자가 훨씬 진해져서 빨리 안먹은 걸 후회했어요열무김치가 나왔길래 이야기하고 있었는데 직접 농사지어 담근거라고 알려주시더라구요우쫄면도 매콤하니 맛있게 먹었습니다,1
연어회상,1003641541,"간장연어장덮밥 14,000",2024-10-21,104,간장연어장덮밥 14000,0
풍년제과효자,16924017,사장님 친절하세요,2025-10-30,186,사장님 친절하세요,1
풍년제과효자,16924017,와아 최악이에요풍년제과 먹고싶어서객사까지 못가서가까운데 찍었는데...초코파이 이거 짝퉁도 있나요??세상 얇고 퍼서퍼석 한입 먹다가 버렸습니다풍년제과가 두개인가봐요???딸기잼도 거의없고 크림도 없고재고 떨이 한 느낌의 맛이라 다시는 안갑니다쟁반 들었는데 찐떡찐떡 ...,2025-06-14,186,와아 최악이에요풍년제과 먹고싶어서객사까지 못가서가까운데 찍었는데초코파이 이거 짝퉁도 있나요세상 얇고 퍼서퍼석 한입 먹다가 버렸습니다풍년제과가 두개인가봐요딸기잼도 거의없고 크림도 없고재고 떨이 한 느낌의 맛이라 다시는 안갑니다쟁반 들었는데 찐떡찐떡,0
풍년제과효자,16924017,초코파이 많아서 전문매장 같은 느낌.사장님 친절하세요.,2025-05-22,186,초코파이 많아서 전문매장 같은 느낌사장님 친절하세요,1
풍년제과효자,16924017,빵 너무 맛있게 잘 먹었습니다ㅜㅜㅜ,2025-05-06,186,빵 너무 맛있게 잘 먹었습니다,1
풍년제과효자,16924017,풍년제과 초코빵 하나사왔숨당 *’?’,2025-03-15,186,풍년제과 초코빵 하나사왔숨당,0
풍년제과효자,16924017,전주 출장 간 김에 가장 가까운 거리에 있는 풍년제과라서 들러봤어요.시그너쳐 메뉴인 초코파이와 센베를 비롯해서 종류가 다양했습니다.커피맛 나는 처음 보는 빵이 있었는데 어머니께서 굉장히 좋아하셨어요. 가격도 착하고 우리밀이라 소화도 잘 되고 속이 편하네요.,2024-08-20,186,전주 출장 간 김에 가장 가까운 거리에 있는 풍년제과라서 들러봤어요시그너쳐 메뉴인 초코파이와 센베를 비롯해서 종류가 다양했습니다커피맛 나는 처음 보는 빵이 있었는데 어머니께서 굉장히 좋아하셨어요 가격도 착하고 우리밀이라 소화도 잘 되고 속이 편하네요,1
풍년제과효자,16924017,사장님 친절하시고 전병이랑 초코파이 맛있어요,2024-11-13,186,사장님 친절하시고 전병이랑 초코파이 맛있어요,1
풍년제과효자,16924017,맛있어요 추천합니다 번창하세요,2024-11-02,186,맛있어요 추천합니다 번창하세요,1
풍년제과효자,16924017,풍년제과 셈베 맛있죵,2025-03-01,186,풍년제과 셈베 맛있죵,1
풍년제과효자,16924017,초코파이 조아요,2024-08-29,186,초코파이 조아요,1
건강한김밥,1129396250,사장님침절하시고 조아요,2025-09-26,143,사장님침절하시고 조아요,1
건강한김밥,1129396250,맛있어요 친절하시구요,2025-10-09,143,맛있어요 친절하시구요,1
건강한김밥,1129396250,사장님 친절하고 성실하세요.참기름 달달 넣어 볶은 당근과 탱글탱글한 밥알이조화를 이뤄 또 먹고 먹는 맛이에요.다른 김밥집보다. 길이나 양이 많아빽곰 남자들도 하나 먹으면 배 부르다고 해요.,2025-04-12,143,사장님 친절하고 성실하세요참기름 달달 넣어 볶은 당근과 탱글탱글한 밥알이조화를 이뤄 또 먹고 먹는 맛이에요다른 김밥집보다 길이나 양이 많아빽곰 남자들도 하나 먹으면 배 부르다고 해요,1
건강한김밥,1129396250,정말 건전한 김밥 맞아요여사장님 친절하시네요,2025-09-05,143,정말 건전한 김밥 맞아요여사장님 친절하시네요,1
건강한김밥,1129396250,여기맛있어요!!!,2025-05-03,143,여기맛있어요,1
건강한김밥,1129396250,맛있게 먹고 또 사먹으로 왔어요,2025-03-23,143,맛있게 먹고 또 사먹으로 왔어요,1
건강한김밥,1129396250,건강한 김밥 당근이 많이 들어가서 달달하니 맛이 좋아요,2025-02-16,143,건강한 김밥 당근이 많이 들어가서 달달하니 맛이 좋아요,1
